avg,fft1,fft2,max,min,normalized_fft1,normalized_paa,paa
-0.020669696510732926,-69.43401106532342,-53.19069647533604,-4.398901211443925,-5.277341496601621,-1.0698532214254368,-0.29719348424800984,-0.020669696510732926
-0.006241906355563942,-23.395479583568193,-17.942867606813298,-1.4676956239761973,-2.3637885453825316,-0.31951427189314685,0.2256736471719873,-0.006241906355563942
-0.005377029476879941,-20.635690247924835,-15.829929181431915,-1.291983895984233,-2.1891350083383885,-0.2745350476566464,0.2570170260072396,-0.005377029476879941
-0.004837291720582467,-18.913407527012733,-14.511322252494985,-1.182328688221203,-2.0801401785112104,-0.24646517301003815,0.2765772725397427,-0.004837291720582467
-0.004436562249884669,-17.63469497616669,-13.532319671100414,-1.1009149407976906,-1.99921673012201,-0.22562463354722298,0.29109982010702506,-0.004436562249884669
-0.004114307989389096,-16.606393846375173,-12.74503603972386,-1.0354445202557416,-1.9341405929165196,-0.20886531554342427,0.3027784042118006,-0.004114307989389096
-0.0038428611162225233,-15.74021716363308,-12.08187745276291,-0.9802963248100627,-1.8793245171413728,-0.19474831221338482,0.3126157144567576,-0.0038428611162225233
-0.0036071586042509887,-14.98809938252974,-11.506044167380871,-0.9324100918775982,-1.8317266700713288,-0.18249024820408247,0.3211576391020152,-0.0036071586042509887
-0.0033980542534732374,-14.320855325559275,-10.99519154943944,-0.889927644131159,-1.7895000649038701,-0.17161546161391314,0.3287356389816041,-0.0033980542534732374
-0.003209560633899657,-13.719379330585834,-10.534692001408676,-0.8516325521625425,-1.7514355979489067,-0.16181256713157907,0.33556670022504065,-0.003209560633899657
-0.003037535624212058,-13.170454045495354,-10.114426109171388,-0.8166832866022982,-1.7166968077898863,-0.1528661475015409,0.34180093446191906,-0.003037535624212058
-0.002878989735357866,-12.66454012404138,-9.727090398155504,-0.7844724913050747,-1.6846799959700052,-0.14462072984463822,0.3475466816076748,-0.002878989735357866
-0.002731691755487137,-12.194517853787612,-9.367233903756569,-0.7545468646514943,-1.654934590793924,-0.13696027662929708,0.3528848014008419,-0.002731691755487137
-0.0025939304065707167,-11.754926611411147,-9.030675886272293,-0.7265587367858952,-1.6271150161825232,-0.12979579026510743,0.35787731103355735,-0.0025939304065707167
-0.0024643631991133315,-11.341482563821305,-8.714136575240373,-0.7002353623559161,-1.6009501693412047,-0.1230574525646124,0.3625728626988324,-0.0024643631991133315
-0.002341916716745403,-10.95076048007195,-8.414993559599058,-0.675358661944935,-1.5762232841957577,-0.11668943889337394,0.36701035730470244,-0.002341916716745403
-0.002225718614006211,-10.579976738865263,-8.131115654795272,-0.6517514064789798,-1.5527581990010897,-0.11064638161230209,0.37122140889349486,-0.002225718614006211
-0.0021150499153351644,-10.226837116441072,-7.860746366781914,-0.6292675261055094,-1.5304097235829683,-0.10489088931487714,0.37523207333966324,-0.0021150499153351644
