avg,fft1,fft2,max,min,normalized_fft1,normalized_paa,paa
-0.10962560011759546,9.321229965883889,-0.0981388755171167,-0.1090191130262257,-0.11224731028637035,-0.6308002535622185,-1.000018205615876,-0.10962560011759546
-0.1049816915530171,9.792014129612557,-0.033077892628489404,-0.1042113911584514,-0.10656041913272266,0.15983198875446292,-0.025672757707382532,-0.1049816915530171
-0.10470749271974077,9.819811504738333,-0.029236377372149847,-0.10392751999507062,-0.10622463756045104,0.20651474216771326,0.03185731234232381,-0.10470749271974077
-0.10453783423312694,9.837010923639298,-0.02685946840828979,-0.10375187682621748,-0.1060168752125821,0.23539934827789533,0.06745361486044588,-0.10453783423312694
-0.10441269231178688,9.84969739968985,-0.02510623483580765,-0.10362232053900049,-0.10586362747406124,0.25670494387717024,0.09370982979332731,-0.10441269231178688
-0.10431261219951649,9.859843192033926,-0.023704116258025862,-0.10351871011308433,-0.10574107021497399,0.27374372973509603,0.11470778883166854,-0.10431261219951649
-0.10422872334780554,9.868347567679935,-0.022528836626694873,-0.10343186209245156,-0.10563834063663485,0.2880259297421108,0.1323086351141044,-0.10422872334780554
-0.10415620589320294,9.875699148518805,-0.0215128698376384,-0.10335678659356093,-0.10554953637502425,0.30037213271795615,0.14752363144820402,-0.10415620589320294
-0.1040921381189906,9.882194128573877,-0.020615282750429995,-0.1032904588364966,-0.10547107952055877,0.31127976521789696,0.16096578761759428,-0.1040921381189906
-0.10403461016313376,9.888026123371462,-0.01980931827038654,-0.10323090158907555,-0.1054006312723428,0.3210739840537108,0.17303581465131657,-0.10403461016313376
-0.10398230250902597,9.893328901161615,-0.019076490019888988,-0.10317674878890543,-0.1053365757614995,0.3299794388624049,0.18401056231526325,-0.10398230250902597
-0.10393426395860857,9.898198891272424,-0.018403471750205375,-0.10312701568453304,-0.1052777481589307,0.33815807250817875,0.1940896029062732,-0.10393426395860857
-0.10388978536243033,9.902707984940914,-0.017780328304416032,-0.10308096811134759,-0.10522328004621592,0.34573061872489896,0.2034217241384132,-0.10388978536243033
-0.10384832337769964,9.90691126447076,-0.017199447470614027,-0.10303804356020729,-0.10517250605036764,0.35278958241952746,0.2121209255808681,-0.10384832337769964
-0.103809452162727,9.910851900290682,-0.016654863222878104,-0.10299780116790948,-0.10512490468925438,0.35940746376409377,0.22027655371966337,-0.103809452162727
-0.10377283153465197,9.914564379019271,-0.0161418096122337,-0.10295988875168519,-0.10508005937782225,0.3656421793893838,0.22795998283293256,-0.10377283153465197
-0.1037381852710451,9.918076703177181,-0.015656416772918187,-0.10292402034539269,-0.10503763185642018,0.3715407565690343,0.23522916756449497,-0.1037381852710451
-0.10370528590039758,9.92141193307719,-0.015195497837719826,-0.10288996045349376,-0.1049973435653623,0.377141922660944,0.2421318340540886,-0.10370528590039758
-0.10367394377847539,9.924589294227488,-0.014756395898110675,-0.1028575127420773,-0.10495896226792345,0.3824779648740331,0.2487077718439979,-0.10367394377847539
-0.10364399907487627,9.92762498970813,-0.014336871736216797,-0.10282651174274335,-0.10492229223714479,0.38757609456863024,0.25499051519155314,-0.10364399907487627
-0.10361531578402147,9.930532807317,-0.013935019919036777,-0.10279681665233305,-0.10488716692174477,0.39245946689394456,0.2610085996320135,-0.10361531578402147
-0.10358777717472355,9.933324580877631,-0.013549205047061152,-0.10276830662198068,-0.10485344337369848,0.39714795550579635,0.2667865167115687,-0.10358777717472355
-0.10356128228153477,9.93601054593476,-0.013178012598196186,-0.10274087712469479,-0.10482099795157251,0.4016587499197004,0.27234545014281886,-0.10356128228153477
-0.10353574316339453,9.938599617663632,-0.012820210521517453,-0.10271443711730467,-0.10478972296348782,0.4060068222301715,0.27770385097209793,-0.10353574316339453
-0.10351108273607772,9.94109961060925,-0.01247471886995391,-0.10268890679644864,-0.10475952401275418,0.41020529613956463,0.2828778923567412,-0.10351108273607772
-0.10348723303968964,9.943517414322029,-0.012140585527958585,-0.10266421580495512,-0.10473031787625936,0.4142657419195916,0.28788183306456755,-0.10348723303968964
-0.10346413384015943,9.945859135133798,-0.011816966618482475,-0.10264030178400377,-0.10470203079186957,0.41819841450913986,0.29272831089667967,-0.10346413384015943
-0.10344173149009994,9.948130211640075,-0.011503110543665977,-0.10261710919380249,-0.10467459706344823,0.4220124474545329,0.29742858169214803,-0.10344173149009994
-0.10341997799319977,9.95033550954892,-0.011198344877006314,-0.10259458834497585,-0.10464795791511829,0.42571601219816346,0.3019927156293337,-0.10341997799319977
-0.1033988302298789,9.95247940018141,-0.01090206551482285,-0.10257269459690602,-0.10462206054300674,0.4293164499117507,0.30642975969223785,-0.1033988302298789
-0.1033782493118597,9.954565825903128,-0.010613727633820399,-0.10255138768953612,-0.10459685732485768,0.43282038138158496,0.310747873088945,-0.1033782493118597
-0.10335820004064625,9.956598355021722,-0.010332838104405911,-0.1025306311827476,-0.10457230515689069,0.4362337992032065,0.31495444086887947,-0.10335820004064625
-0.10333865045039953,9.95858022812873,-0.010058949086387235,-0.10251039198311046,-0.10454836489400965,0.4395621456075746,0.31905616983284923,-0.10333865045039953
-0.10331957141985043,9.960514397442553,-0.009791652591887946,-0.10249063994210635,-0.10452500087455469,0.4428103785334609,0.32305916995817946,-0.10331957141985043
-0.10330093634106402,9.96240356038805,-0.009530575844748996,-0.10247134751320874,-0.10450218051467373,0.44598302802079737,0.32696902389575433,-0.10330093634106402
-0.10328272083531269,9.964250188400376,-0.009275377299921034,-0.10245248945773341,-0.10447987396038311,0.4490842445837054,0.3307908465831189,-0.10328272083531269
-0.10326490250821331,9.966056551748379,-0.009025743212945463,-0.10243404259133809,-0.10445805378771064,0.45211784089875084,0.33452933661951767,-0.10326490250821331
-0.10324746073777025,9.96782474102209,-0.008781384670445428,-0.10241598556458881,-0.10443669474313487,0.455087327890928,0.3381888207369038,-0.10324746073777025
-0.10323037649013844,9.969556685810069,-0.008542035008973575,-0.10239829867222396,-0.10441577351797013,0.45799594610026506,0.34177329245496485,-0.10323037649013844
-0.10321363215885203,9.971254170997868,-0.00830744756261085,-0.10238096368671176,-0.1043952685514872,0.4608466930533906,0.34528644581281176,-0.10321363215885203
-0.10319721142400856,9.972918851043481,-0.008077393690142511,-0.10236396371246721,-0.10437515985847158,0.46364234723762937,0.3487317049137533,-0.10319721142400856
-0.10318109912849788,9.974552262524835,-0.007851661041030286,-0.10234728305771496,-0.10435542887765434,0.4663854891732069,0.3521122498938887,-0.10318109912849788
-0.10316528116884979,9.976155835205319,-0.007630052026191686,-0.10233090712148664,-0.1043360583380452,0.4690785199966016,0.355431039823532,-0.10316528116884979
-0.10314974439866881,9.977730901823229,-0.007412382465124108,-0.10231482229364927,-0.10431703214067937,0.47172367790092573,0.3586908329677193,-0.10314974439866881
-0.10313447654294707,9.979278706778459,-0.007198480385433182,-0.10229901586619562,-0.10429833525368608,0.4743230527242624,0.36189420476432715,-0.10313447654294707
-0.10311946612181216,9.980800413862683,-0.006988184954541676,-0.10228347595430218,-0.10427995361891065,0.47687859893172324,0.36504356382267167,-0.10311946612181216
-0.10310470238248531,9.982297113157221,-0.006781345526426487,-0.10226819142588721,-0.10426187406859111,0.47939214719966367,0.3681411661994605,-0.10310470238248531
-0.10309017523840755,9.983769827204215,-0.0065778207887791755,-0.10225315183858961,-0.10424408425081266,0.48186541477953504,0.3711891281708142,-0.10309017523840755
-0.10307587521464318,9.985219516541461,-0.006377477998109754,-0.10223834738324653,-0.10422657256264918,0.4843000147930346,0.3741894376872595,-0.10307587521464318
-0.10306179339879633,9.986647084678312,-0.006180192292090252,-0.1022237688330784,-0.10420932809005608,0.4866974645886247,0.37714396467198963,-0.10306179339879633
-0.10304792139678347,9.988053382579325,-0.005985846069928816,-0.10220940749790146,-0.10419234055370966,0.48905919327133307,0.380054470300307,-0.10304792139678347
-0.10303425129289427,9.989439212713158,-0.00579432843282349,-0.10219525518277964,-0.10417560026009795,0.49138654850245495,0.38292261537932,-0.10303425129289427
-0.10302077561364935,9.990805332716551,-0.005605534677611868,-0.1021813041506075,-0.10415909805726134,0.49368080265280906,0.385749967930985,-0.10302077561364935
-0.10300748729502843,9.992152458716625,-0.005419365837637521,-0.1021675470881823,-0.10414282529466033,0.49594315838220804,0.38853801006803546,-0.10300748729502843
-0.10299437965269688,9.993481268349223,-0.00523572826562595,-0.10215397707538038,-0.10412677378671528,0.49817475370842124,0.3912881442407812,-0.10299437965269688
-0.10298144635490636,9.994792403506148,-0.005054533254022747,-0.1021405875571017,-0.10411093577962069,0.5003766666208909,0.39400169892287884,-0.10298144635490636
-0.10296868139778505,9.996086472840162,-0.0048756966888116385,-0.10212737231768862,-0.10409530392108592,0.5025499192875946,0.3966799337957106,-0.10296868139778505
-0.10295607908276826,9.997364054052998,-0.0046991387333172735,-0.10211432545756029,-0.10407987123269685,0.504695481897528,0.39932404448371617,-0.10295607908276826
-0.10294363399594961,9.998625695988657,-0.004524783538916759,-0.10210144137183545,-0.10406463108462952,0.5068142761761883,0.40193516688674147,-0.10294363399594961
-0.10293134098915938,9.999871920551648,-0.004352558979947154,-0.1020887147307433,-0.1040495771724788,0.5089071786070236,0.4045143811500325,-0.10293134098915938
-0.10291919516259854,10.001103224467458,-0.00418239641041045,-0.10207614046164505,-0.10403470349599228,0.5109750233879958,0.4070627153077921,-0.10291919516259854
-0.10290719184887727,10.00232008090071,-0.004014230440351672,-0.10206371373250923,-0.10402000433952381,0.5130186051490727,0.4095811486321144,-0.10290719184887727
-0.10289532659832273,10.003522940944586,-0.00384799873002346,-0.10205142993670138,-0.10400547425404172,0.5150386814535748,0.41207061471555184,-0.10289532659832273
-0.10288359516543692,10.004712234993702,-0.0036836418001594817,-0.10203928467896403,-0.103991108040545,0.5170359751037659,0.41453200431243686,-0.10288359516543692
-0.10287199349639735,10.005888374011233,-0.003521102856860643,-0.10202727376247664,-0.10397690073475696,0.5190111762688655,0.41696616796136576,-0.10287199349639735
-0.1028605177175056,10.007051750699977,-0.0033603276297587553,-0.10201539317689653,-0.10396284759297925,0.5209649444517123,0.41937391840883953,-0.1028605177175056
-0.10284916412449811,10.008202740585979,-0.0032012642222622976,-0.10200363908729275,-0.10394894407900207,0.5228979103086029,0.4217560328519658,-0.10284916412449811
-0.10283792917264316,10.009341703022473,-0.003043862972813574,-0.10199200782389353,-0.10393518585197689,0.5248106773353187,0.4241132550162544,-0.10283792917264316
-0.10282680946755485,10.010468982121127,-0.0028880763261954524,-0.10198049587257649,-0.10392156875516749,0.5267038234310291,0.4264462970829126,-0.10282680946755485
-0.10281580175666302,10.011584907616797,-0.0027338587140231588,-0.10196909986603742,-0.10390808880550395,0.5285779023505748,0.4287558414785853,-0.10281580175666302
-0.10280490292128297,10.012689795671475,-0.0025811664436419524,-0.1019578165755804,-0.10389474218387132,0.5304334450546033,0.43104254253921054,-0.10280490292128297
-0.102794109969235,10.013783949622486,-0.0024299575947282805,-0.10194664290347698,-0.1038815252260717,0.532270960966089,0.43330702805850746,-0.102794109969235
-0.10278342002796868,10.014867660679537,-0.002280191922959137,-0.10193557587584787,-0.1038684344144041,0.534090939140959,0.43554990073061284,-0.10278342002796868
-0.1027728303381504,10.015941208574787,-0.0021318307701755426,-0.10192461263602429,-0.10385546636981194,0.5358938493598037,0.4377717394954622,-0.1027728303381504
-0.10276233824767747,10.017004862169681,-0.0019848369805189926,-0.10191375043835092,-0.10384261784455265,0.5376801431469991,0.43997310079471974,-0.10276233824767747
-0.10275194120608468,10.01805888002198,-0.0018391748220689813,-0.10190298664239528,-0.10382988571534812,0.5394502547229826,0.44215451974532555,-0.10275194120608468
-0.10274163675931303,10.019103510916112,-0.0016948099135518993,-0.1018923187075317,-0.10381726697697849,0.541204601894898,0.44431651123709465,-0.10274163675931303
-0.10273142254481245,10.020138994359623,-0.0015517091557308918,-0.10188174418787144,-0.1038047587362849,0.5429435868903586,0.44645957096021366,-0.10273142254481245
-0.10272129628695331,10.021165561048356,-0.0014098406671209929,-0.10187126072751232,-0.10379235820655054,0.5446675971386472,0.4485841763679637,-0.10272129628695331
-0.10271125579272342,10.022183433302667,-0.0012691737237045912,-0.10186086605608392,-0.10378006270223124,0.5463770060033046,0.4506907875795342,-0.10271125579272342
-0.10270129894768945,10.023192825476846,-0.0011296787023511203,-0.10185055798456655,-0.10376786963400983,0.548072173469703,0.4527798482273623,-0.10270129894768945
-0.10269142371220345,10.024193944343692,-0.0009913270276697833,-0.10184033440136389,-0.10375577650415066,0.5497534467909011,0.454851786253061,-0.10269142371220345
-0.10268162811783656,10.025186989456039,-0.0008540911220471688,-0.10183019326861102,-0.1037437809021324,0.5514211610947952,0.4569070146556489,-0.10268162811783656
-0.10267191026402396,10.026172153486893,-0.0007179443586424646,-0.10182013261870095,-0.1037318805005395,0.5530756399553295,0.45894593219548885,-0.10267191026402396
