avg,fft1,fft2,max,min,normalized_fft1
-0.11195471742353318,9.104351118725855,-0.10702802243744665,-0.11059517139042609,-0.1147898363613057,-0.6889919595131887
-0.10567265729048204,9.738157220922384,-0.029001390357524026,-0.10444774535176796,-0.10740301910478399,0.136419026886466
-0.10529607789050845,9.776150859411935,-0.024324067684977982,-0.10407923662055728,-0.10696021480949552,0.1858984599715846
-0.10506106857829413,9.799861287679056,-0.02140512314272055,-0.10384926391500601,-0.10668387698302761,0.21677674895633436
-0.10488658540346729,9.817465146698815,-0.019237946420752702,-0.1036785201797471,-0.10647870936293391,0.23970240175074914
-0.10474627142462557,9.831621626281915,-0.017495169852099382,-0.10354121334268243,-0.10631371990115113,0.25813850347987266
-0.1046280796875805,9.843546161001704,-0.016027163658910777,-0.10342555463415744,-0.10617474307757864,0.2736679247513106
-0.10452545154163496,9.853900462581084,-0.014752465802612413,-0.10332512596532545,-0.10605406684344218,0.2871524182746378
-0.10443440460433266,9.863086319326532,-0.013621612909066466,-0.10323603030223755,-0.10594700847829223,0.29911523632089887
-0.10435233186553326,9.871366756249026,-0.01260222448258512,-0.10315571650694212,-0.10585050250566333,0.3098989185611434
-0.10427742978811019,9.878923734809,-0.011671899602954783,-0.10308241969485374,-0.10576242822010419,0.3197404349267512
-0.10420839670702721,9.885888581868267,-0.010814470876561899,-0.1030148660975958,-0.10568125504700263,0.3288108134879381
-0.10414426112166916,9.892359313524276,-0.010017871732972916,-0.10295210503528754,-0.10560584063856876,0.33723770142796106
-0.10408427791782467,9.898411105423866,-0.009272847445044495,-0.10289340736264735,-0.1055353088455143,0.34511900062027784
-0.10402786255692983,9.904102932505344,-0.008572137723238733,-0.10283820106866098,-0.10546897233287916,0.35253151462015286
-0.10397454765859522,9.909481949449908,-0.007909937446796522,-0.10278602878961096,-0.10540628152720288,0.3595366533631966
-0.10392395339149656,9.914586477987385,-0.007281528902362035,-0.10273651883453544,-0.10534678980038556,0.3661843235585774
-0.1038757667036933,9.919448102379302,-0.006683023813148777,-0.10268936486067264,-0.10529012904746997,0.37251565765418093
-0.10382972639532043,9.924093175456559,-0.0061111779335851005,-0.10264431126606754,-0.1052359921342311,0.37856497516202564
-0.10378561216095598,9.928543924150734,-0.005563254949509811,-0.10260114246677818,-0.10518412001254493,0.3843612224009604
-0.10374323639512249,9.93281927624888,-0.005036924698005436,-0.1025596748779975,-0.10513429208481302,0.3899290491863227
-0.10370243796243712,9.93693548893204,-0.004530185789246688,-0.10251975081771877,-0.1050863188785373,0.3952896273809218
-0.10366307739130451,9.940906633690515,-0.004041305909529929,-0.10248123380343488,-0.10504003639478023,0.40046128240423007
-0.10362503311664688,9.944744975400233,-0.0035687751539198037,-0.10244400487539235,-0.10499530169014498,0.40545998690672375
-0.1035881985075264,9.948461272210217,-0.0031112691076898083,-0.1024079596879164,-0.10495198938167839,0.4102997513158258
-0.10355247949015355,9.952065015360697,-0.002667619322781624,-0.10237300618336174,-0.10490998885186371,0.4149929361530486
-0.10351779262820769,9.955564622862328,-0.002236789474334859,-0.10233906271357492,-0.1048692019913483,0.41955050426405727
-0.1034840635584467,9.958967597329805,-0.0018178559300994768,-0.10230605650903103,-0.10482954135944093,0.42398222636669824
-0.10345122570524438,9.96228065567402,-0.0014099917842867286,-0.10227392242092076,-0.10479092867258909,0.4282968499501885
-0.10341921921622434,9.965509836487502,-0.0010124536375570696,-0.10224260187959504,-0.10475329355283433,0.4325022391240736
-0.10338799007471271,9.96866058959034,-0.0006245705731973521,-0.10221204202603944,-0.1047165724841819,0.43660549123462133
-0.10335748935476806,9.97173785119129,-0.00024573490418287186,-0.10218219498286979,-0.1046807079366208,0.4406130347477685
