x,y,z
-0.1062990628399828,-0.1280382368454251,-0.1659700242601525
-0.10491123931418304,-0.1270754186226541,-0.15385574337559485
-0.10460144090044891,-0.12686049247924772,-0.15115151986893324
-0.10440674014680902,-0.12672541663559267,-0.1494519812934725
-0.10426178125735626,-0.12662484977120164,-0.14818663835116117
-0.10414503316644098,-0.12654385446645483,-0.14716754684579955
-0.10404659754824902,-0.1264755636461862,-0.1463083045101177
-0.10396106717892256,-0.12641622598786226,-0.1455617118065651
-0.10388515139068387,-0.12636355855360032,-0.14489904456883676
-0.10381669250315806,-0.12631606442830617,-0.14430146845262704
-0.10375419600310996,-0.12627270677656796,-0.14375593788493604
-0.10369658222627515,-0.12623273656912587,-0.1432530285002612
-0.10364304474336958,-0.1261955943365693,-0.14278570099520507
-0.10359296465425595,-0.12616085070994804,-0.1423485530041473
-0.10354585617757767,-0.12612816867296736,-0.14193734415236223
-0.10350133072149345,-0.1260972786356549,-0.14154868243025578
-0.10345907236220697,-0.12606796142231397,-0.14117981014599182
-0.10341882063161714,-0.1260400363302619,-0.14082845367927263
-0.10338035813954474,-0.1260133525426102,-0.14049271543602831
-0.10334350148303337,-0.12598778282148942,-0.14017099449590587
-0.10330809444497309,-0.12596321878951774,-0.13986192724320504
-0.10327400282131428,-0.12593956734112222,-0.13956434221374286
-0.10324111042886128,-0.12591674787290053,-0.13927722524697206
-0.10320931598341454,-0.125894690117797,-0.1389996922353533
-0.10317853062935045,-0.12587333243122062,-0.13873096756011194
-0.10314867596351941,-0.12585262042010212,-0.13847036684188774
-0.10311968243894276,-0.12583250583544076,-0.13821728300664118
-0.10309148806366049,-0.12581294566961507,-0.1379711749279233
-0.10306403733135339,-0.12579390141449015,-0.13773155809230042
-0.10303728033572827,-0.12577533844701227,-0.13749799686884248
-0.1030111720318976,-0.12575722551678267,-0.13727009806172152
-0.10298567161631123,-0.12573953431587825,-0.13704750549765027
-0.10296074200303369,-0.12572223911551306,-0.1368298954543175
-0.1029363493788778,-0.12570531645740712,-0.1366169727771597
-0.10291246282350998,-0.12568874489023027,-0.13640846756326827
-0.10288905398342024,-0.12567250474341526,-0.13620413231548148
-0.10286609679080967,-0.12565657793213256,-0.1360037394885584
-0.10284356722013917,-0.12564094778839344,-0.1358070793640994
-0.10282144307641912,-0.12562559891417358,-0.13561395820253047
-0.1027997038103799,-0.1256105170531854,-0.13542419662973143
-0.10277833035651245,-0.125595688978517,-0.1352376282232951
-0.10275730499065089,-0.1255811023938284,-0.1350540982693691
-0.1027366112043223,-0.12556674584618027,-0.1348734626658581
-0.10271623359353921,-0.12555260864888268,-0.13469558695169603
-0.10269615776007872,-0.12553868081300604,-0.13452034544511335
-0.10267637022359512,-0.1255249529864085,-0.13434762047647042
-0.10265685834316364,-0.12551141639930594,-0.1341773017034141
-0.10263761024706056,-0.12549806281555614,-0.1340092854979305
-0.10261861476975855,-0.12548488448894862,-0.1338434743963784
-0.1025998613952611,-0.12547187412389216,-0.1336797766048567
-0.10258134020602189,-0.12545902483997717,-0.13351810555332252
-0.10256304183679776,-0.1254463301399606,-0.13335837949277554
-0.10254495743287145,-0.12543378388078247,-0.13320052113058442
-0.1025270786121538,-0.12542138024727387,-0.133044457299678
-0.10250939743073853,-0.12540911372826027,-0.13289011865787423
-0.10249190635153677,-0.12539697909480124,-0.1327374394140906
-0.1024745982156643,-0.12538497138034016,-0.1325863570785852
-0.10245746621629508,-0.12537308586256463,-0.13243681223472384
-0.10244050387472813,-0.1253613180468028,-0.13228874833006893
-0.10242370501844532,-0.12534966365080064,-0.13214211148484614
-0.10240706376096288,-0.12533811859074362,-0.13199685031606875
-0.10239057448330212,-0.12532667896840188,-0.13185291577579572
-0.10237423181692419,-0.1253153410592911,-0.1317102610021705
-0.10235803062799131,-0.12530410130175337,-0.1315688411820363
-0.1023419660028309,-0.12529295628687295,-0.13142861342405357
-0.1023260332344931,-0.1252819027491503,-0.13128953664136153
-0.10231022781030347,-0.12527093755786659,-0.13115157144292425
-0.10229454540032212,-0.12526005770907725,-0.1310146800327925
-0.10227898184663085,-0.1252492603181796,-0.13087882611659
-0.10226353315337643,-0.12523854261300538,-0.13074397481460212
-0.10224819547750617,-0.12522790192739347,-0.13061009258090714
-0.10223296512013791,-0.12521733569520266,-0.13047714712804412
-0.10221783851851175,-0.12520684144472807,-0.13034510735676091
-0.10220281223847655,-0.12519641679348864,-0.13021394329042796
-0.10218788296746788,-0.1251860594433554,-0.13008362601374346
-0.10217304750793858,-0.125175767175994,-0.12995412761538935
-0.10215830277120666,-0.1251655378485964,-0.12982542113432832
-0.10214364577168773,-0.12515536938987987,-0.1296974805094605
-0.10212907362148323,-0.1251452597963321,-0.12957028053238304
-0.10211458352529705,-0.12513520712868495,-0.12944379680301796
-0.1021001727756563,-0.12512520950859857,-0.1293180056878945
-0.10208583874841382,-0.12511526511554122,-0.12919288428088968
-0.10207157889851151,-0.1251053721838502,-0.12906841036624794
-0.10205739075598617,-0.12509552899996068,-0.12894456238371504
-0.1020432719222001,-0.12508573389979066,-0.1288213193956353
-0.10202922006628062,-0.12507598526627098,-0.12869866105587283
-0.10201523292175416,-0.12506628152701002,-0.12857656758042982
-0.102001308283361,-0.12505662115208394,-0.12845501971964293
-0.10198744400403853,-0.1250470026519439,-0.12833399873185014
-0.10197363799206144,-0.12503742457543185,-0.1282134863584274
-0.10195988820832814,-0.12502788550789806,-0.12809346480010214
-0.10194619266378384,-0.12501838406941335,-0.12797391669445868
-0.1019325494169707,-0.12500891891306945,-0.1278548250945549
-0.10191895657169733,-0.12499948872336217,-0.1277361734485778
-0.10190541227481908,-0.12499009221465154,-0.12761794558046866
-0.1018919147141223,-0.12498072812969388,-0.1275001256714547
-0.10187846211630569,-0.12497139523824144,-0.12738269824242798
-0.10186505274505236,-0.12496209233570477,-0.12726564813711683
-0.1018516848991868,-0.1249528182418742,-0.12714896050599783
-0.1018383569109113,-0.12494357179969622,-0.1270326207909015
-0.10182506714411654,-0.12493435187410157,-0.1269166147102658
-0.10181181399276178,-0.12492515735088137,-0.1268009282449967
-0.10179859587932003,-0.12491598713560848,-0.12668554762489584
-0.10178541125328396,-0.12490684015260094,-0.12657045931561905
-0.1017722585897287,-0.12489771534392494,-0.1264556500061309
-0.10175913638792776,-0.12488861166843454,-0.12634110659662304
-0.10174604317001862,-0.12487952810084595,-0.12622681618686593
-0.10173297747971452,-0.12487046363084382,-0.12611276606496502
-0.10171993788105972,-0.12486141726221765,-0.12599894369649414
-0.10170692295722482,-0.12485238801202606,-0.12588533671398086
-0.10169393130933972,-0.12484337490978716,-0.12577193290671893
-0.10168096155536141,-0.12483437699669299,-0.1256587202108854
-0.10166801232897407,-0.12482539332484657,-0.12554568669993996
-0.10165508227851931,-0.12481642295651965,-0.1254328205752861
-0.10164217006595387,-0.12480746496342962,-0.1253201101571738
-0.10162927436583298,-0.12479851842603422,-0.12520754387582517
-0.10161639386431721,-0.12478958243284254,-0.12509511026276465
-0.10160352725820058,-0.12478065607974072,-0.12498279794233626
-0.1015906732539584,-0.1247717384693314,-0.12487059562339124
-0.10157783056681254,-0.1247628287102853,-0.1247584920911299
-0.10156499791981276,-0.12475392591670378,-0.12464647619908192
-0.10155217404293213,-0.12474502920749132,-0.1245345368612101
-0.10153935767217478,-0.12473613770573655,-0.12442266304412257
-0.1015265475486946,-0.12472725053810077,-0.12431084375937933
-0.10151374241792302,-0.12471836683421289,-0.12419906805587906
-0.10150094102870443,-0.12470948572606959,-0.12408732501231223
-0.1014881421324377,-0.12470060634743976,-0.12397560372966708
-0.10147534448222216,-0.124691727833272,-0.12386389332377523
-0.10146254683200662,-0.12468284931910423,-0.12375218291788338
-0.1014497479357399,-0.1246739699404744,-0.12364046163523823
-0.1014369465465213,-0.1246650888323311,-0.1235287185916714
-0.10142414141574972,-0.12465620512844322,-0.12341694288817114
-0.10141133129226954,-0.12464731796080744,-0.1233051236034279
-0.1013985149215122,-0.12463842645905267,-0.12319324978634036
-0.10138569104463156,-0.1246295297498402,-0.12308131044846854
-0.10137285839763178,-0.1246206269562587,-0.12296929455642057
-0.10136001571048592,-0.12461171719721259,-0.12285719102415923
-0.10134716170624374,-0.12460279958680327,-0.1227449887052142
-0.1013342951001271,-0.12459387323370145,-0.12263267638478581
-0.10132141459861134,-0.12458493724050977,-0.12252024277172528
-0.10130851889849045,-0.12457599070311437,-0.12240767649037666
-0.10129560668592501,-0.12456703271002434,-0.12229496607226437
-0.10128267663547025,-0.12455806234169742,-0.1221820999476105
-0.10126972740908291,-0.124549078669851,-0.12206906643666508
-0.1012567576551046,-0.12454008075675684,-0.12195585374083155
-0.1012437660072195,-0.12453106765451794,-0.12184244993356962
-0.1012307510833846,-0.12452203840432634,-0.1217288429510563
-0.1012177114847298,-0.12451299203570017,-0.12161502058258544
-0.1012046457944257,-0.12450392756569804,-0.12150097046068453
-0.10119155257651656,-0.12449484399810945,-0.12138668005092744
-0.10117843037471562,-0.12448574032261905,-0.12127213664141956
-0.10116527771116036,-0.12447661551394305,-0.1211573273319314
-0.1011520930851243,-0.12446746853093552,-0.12104223902265462
-0.10113887497168254,-0.12445829831566262,-0.12092685840255378
-0.10112562182032778,-0.12444910379244242,-0.12081117193728468
-0.10111233205353302,-0.12443988386684778,-0.12069516585664897
-0.10109900406525751,-0.1244306374246698,-0.12057882614155262
-0.10108563621939196,-0.12442136333083922,-0.12046213851043365
-0.10107222684813863,-0.12441206042830255,-0.12034508840512248
-0.10105877425032202,-0.12440272753685011,-0.12022766097609579
-0.10104527668962524,-0.12439336345189245,-0.12010984106708182
-0.10103173239274699,-0.12438396694318182,-0.11999161319897268
-0.10101813954747361,-0.12437453675347454,-0.11987296155299558
-0.10100449630066048,-0.12436507159713064,-0.1197538699530918
-0.10099080075611618,-0.12435557015864591,-0.11963432184744832
-0.10097705097238288,-0.12434603109111214,-0.11951430028912309
-0.10096324496040579,-0.12433645301460008,-0.11939378791570032
-0.10094938068108332,-0.12432683451446004,-0.11927276692790754
-0.10093545604269016,-0.12431717413953398,-0.11915121906712065
-0.1009214688981637,-0.12430747040027301,-0.11902912559167764
-0.10090741704224422,-0.12429772176675331,-0.11890646725191518
-0.10089329820845815,-0.1242879266665833,-0.11878322426383542
-0.10087911006593281,-0.12427808348269377,-0.11865937628130252
-0.1008648502160305,-0.12426819055100276,-0.11853490236666078
-0.10085051618878801,-0.12425824615794542,-0.11840978095965597
-0.10083610543914727,-0.12424824853785904,-0.1182839898445325
-0.1008216153429611,-0.12423819587021188,-0.11815750611516744
-0.10080704319275659,-0.12422808627666412,-0.11803030613808997
-0.10079238619323766,-0.12421791781794757,-0.11790236551322214
-0.10077764145650574,-0.12420768849055,-0.1177736590321611
-0.10076280599697646,-0.1241973962231886,-0.11764416063380699
-0.10074787672596777,-0.12418703887305536,-0.1175138433571225
-0.10073285044593257,-0.12417661422181592,-0.11738267929078955
-0.10071772384430641,-0.12416611997134133,-0.11725063951950634
-0.10070249348693815,-0.12415555373915052,-0.11711769406664334
-0.1006871558110679,-0.12414491305353861,-0.11698381183294834
-0.10067170711781347,-0.1241341953483644,-0.11684896053096046
-0.1006561435641222,-0.12412339795746674,-0.11671310661475796
-0.10064046115414085,-0.12411251810867739,-0.11657621520462622
-0.10062465572995122,-0.12410155291739369,-0.11643825000618893
-0.10060872296161343,-0.12409049937967105,-0.1162991732234969
